ISIN,Döviz Cinsi,Vade Tarihi,Vadeye Kalan Gün,Alýþ Faiz Oraný,Stopaj Durumu,Kupon Faiz Oraný
US900123CR91,USD,23.12.2023,100,%0.05,Stopajsýz,%3.6250
US900123CF53,USD,22.03.2024,190,%3.31,Stopajsýz,%2.8750
US900123CV04,USD,10.08.2024,331,%4.77,Stopajsýz,%3.1750
US900123CW86,USD,14.11.2024,427,%5.59,Stopajsýz,%2.8000
US900123AW05,USD,05.02.2025,510,%6.02,Stopajsýz,%3.6875
US900123CX69,USD,13.03.2025,546,%6.20,Stopajsýz,%2.1250
XS1843443356,EUR,31.03.2025,564,%3.68,Stopajsýz,%4.6250
XS1629918415,EUR,14.06.2025,639,%3.77,Stopajsýz,%3.2500
US900123CZ18,USD,14.10.2025,761,%6.76,Stopajsýz,%3.1875
US900123DB31,USD,26.01.2026,865,%6.96,Stopajsýz,%2.3750
XS1909184753,EUR,16.02.2026,886,%4.74,Stopajsýz,%5.2000
US900123CJ75,USD,14.04.2026,943,%6.93,Stopajsýz,%2.1250
US900123CK49,USD,09.10.2026,1121,%7.13,Stopajsýz,%2.4375
US900123CL22,USD,25.03.2027,1288,%7.43,Stopajsýz,%3.0000
XS2361850527,EUR,08.07.2027,1393,%5.56,Stopajsýz,%4.3750
USM88269US88,USD,24.09.2027,1471,%7.54,Stopajsýz,%4.3000
US900123DF45,USD,15.01.2028,1584,%7.86,Stopajsýz,%4.9375
US900123CP36,USD,17.02.2028,1617,%7.38,Stopajsýz,%2.5625
US900123CQ19,USD,24.10.2028,1867,%7.68,Stopajsýz,%3.0625
US900123DH01,USD,14.03.2029,2008,%8.25,Stopajsýz,%4.6875
US900123CT57,USD,26.04.2029,2051,%7.99,Stopajsýz,%3.8125
US900123AL40,USD,15.01.2030,2315,%7.99,Stopajsýz,%5.9375
US900123CY43,USD,13.03.2030,2372,%8.12,Stopajsýz,%2.6250
US900123DJ66,USD,13.07.2030,2494,%8.65,Stopajsýz,%4.5625
US900123DA57,USD,15.01.2031,2680,%8.33,Stopajsýz,%2.9750
US900123DC14,USD,26.06.2031,2842,%8.31,Stopajsýz,%2.9375
US900123DG28,USD,19.01.2033,3415,%8.72,Stopajsýz,%4.6875
US900123DD96,USD,20.09.2033,3659,%8.13,Stopajsýz,%3.2500
US900123AT75,USD,14.02.2034,3806,%8.14,Stopajsýz,%4.0000
US900123AY60,USD,17.03.2036,4568,%8.45,Stopajsýz,%3.4375
US900123BB58,USD,05.03.2038,5286,%8.38,Stopajsýz,%3.6250
US900123BG46,USD,30.05.2040,6103,%8.57,Stopajsýz,%3.3750
US900123BJ84,USD,14.01.2041,6332,%8.50,Stopajsýz,%3.0000
US900123CB40,USD,16.04.2043,7154,%8.40,Stopajsýz,%2.4375
US900123CG37,USD,17.02.2045,7827,%8.70,Stopajsýz,%3.3125
